table,status,rows,columns,trusted,neutral,dead
pse__proj__c,success,393497,581,277.0,62.0,242.0
permissionset,success,1931,400,383.0,3.0,14.0
pse__assignment__c,success,1539220,220,122.0,29.0,69.0
pse__milestone__c,success,881627,212,100.0,39.0,73.0
pse__timecard_header__c,success,4918922,159,90.0,10.0,59.0
pse__resource_request__c,success,188846,156,84.0,13.0,59.0
pse__region__c,success,279,116,91.0,9.0,16.0
pse__practice__c,success,164,114,96.0,3.0,15.0
project_order_link__c,success,547894,113,48.0,15.0,50.0
pse__grp__c,success,3157,110,91.0,3.0,16.0
pse__project_task__c,success,5621037,107,59.0,17.0,31.0
issues__c,success,161947,102,48.0,20.0,34.0
project_change__c,success,427,79,35.0,21.0,23.0
pse__utilization_detail__c,success,7194615,74,64.0,3.0,7.0
csm_kpi_data__c,success,1214,68,12.0,28.0,28.0
csm_solution__c,success,73,58,12.0,28.0,18.0
project_contacts__c,success,836093,58,29.0,13.0,16.0
psa_esignature_caf_eform__c,success,16369,56,35.0,10.0,11.0
pse__versionitem_assignment__c,empty,0,53,,,
risks__c,success,28940,49,35.0,6.0,8.0
pse__utilization_summary__c,success,13392268,48,42.0,2.0,4.0
psa_deliverable_related_info__c,success,2202238,37,23.0,7.0,7.0
pse__task_time__c,success,3699965,36,23.0,2.0,11.0
pse__skill__c,success,711,34,18.0,2.0,14.0
pse__skill_certification_rating__c,success,46600,32,17.0,1.0,14.0
pse__rate_card__c,success,5582,29,20.0,1.0,8.0
psa_checklist__c,success,10783,29,21.0,2.0,6.0
pse__time_date__c,success,31246845,28,20.0,3.0,5.0
pse__missing_timecard__c,success,291175,28,23.0,1.0,4.0
psa_revenue_alert__c,success,23378,28,23.0,1.0,4.0
psa_clinical_activity__c,success,26426,26,22.0,2.0,2.0
pse__missing_timecard_calculation__c,success,869,25,12.0,9.0,4.0
cpm_key_date_audit_trail__c,success,4499954,25,20.0,3.0,2.0
opportunityteammember,success,7137861,25,19.0,2.0,4.0
psa_checklist_question_response__c,success,471202,25,22.0,1.0,2.0
checklist_template_question__c,success,1015,22,17.0,2.0,3.0
psa_checklist_template__c,success,35,20,14.0,3.0,3.0
rejected_sales_order_lines__c,success,163093,19,17.0,0.0,2.0
ffps_phmc__project_order_link2__c,success,126067,18,14.0,2.0,2.0
solution__c,empty,0,17,,,
cpm_sales_org_settings__mdt,success,18,13,12.0,0.0,1.0
cpm_cost_element_mapping__mdt,success,58,12,11.0,0.0,1.0
pse__proj__history,success,7171994,11,10.0,1.0,0.0
pse__milestone__history,success,9344451,11,11.0,0.0,0.0
permissionsetgroupcomponent,success,585,11,11.0,0.0,0.0
permissionsetassignment,success,632255,9,6.0,1.0,2.0
metadata,success,5421,4,4.0,0.0,0.0
