Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,MANDT,49582583,49582583,100.0,0,0.0
2,RELID,49582583,49582583,100.0,0,0.0
3,TDOBJECT,49582583,49582583,100.0,0,0.0
4,TDNAME,49582583,49582583,100.0,0,0.0
5,TDID,49582583,49582583,100.0,0,0.0
6,TDSPRAS,49582583,49582583,100.0,0,0.0
7,CLUSTD,49580285,49582583,100.0,2298,0.0
8,src_commit_time,49582583,49582583,100.0,0,0.0
9,SRTF2,3174661,49582583,6.4,46407922,93.6
10,CLUSTR,3174661,49582583,6.4,46407922,93.6
